"id","texto"
1,""
2,""
3,"Preferimos usar el equivalente en Frances de “Hijastra”."
4," ¿ Are we on the road of civilisation collapse ? , Luke Kemp, investigación sobre riesgo existencial de la universidad de cambridge, 2017, https://www.bbc.com/future/article/20190218-are-we-on-the-road-to-civilisation-collapse"
5,"Los principios gobiernan lo que se considera como moralmente correcto e incorrecto, el derecho a la vida o la libertad, son los pilares inamovibles que indican el camino a seguir por el individuo y la sociedad; los valores, están en armonía con los principios y describen la forma de actuar; una persona honesta tiene el gran valor de guardar fielmente el dinero de otra persona, aún desconocida.   https://psicologiaymente.com/social/diferencias-entre-valores-y-principios"
6,"Proyecto de investigación y desarrollo de las primeras armas nucleares https://es.wikipedia.org/wiki/Proyecto_Manhattan"
7,"Bulletin of the Atomic Scientists. https://thebulletin.org/doomsday-clock/current-time/#"
8,"Biografía de Albert Einstein, físico premio nobel  quien desarrolló la teoría de la relatividad, base de la física moderna. https://www.Biografíasyvidas.com/monografia/einstein/"
9,"Biografía de Niels Bohr, físico premio novel quien se destacó por su investigación sobre la estructura de los átomos y la radiación que emana de ellos https://www.biografiasyvidas.com/biografia/b/bohr.htm"
10,"Este principio marca un límite entre la física clásica y la física cuántica; esta última se describe en términos de “cuantos” o paquetes de energía, por lo que a cada estado estacionario de un átomo le corresponde todo un numero de parámetros que especifican la probabilidad de transición de dicho estado a otro. Es decir, se pierde la “exactitud” de la física clásica.-  Los sueños de los que está hecha la materia, El desarrollo de la mecánica cuántica , Werner Heisenberg, páginas 330-343.   "
11,"Biografía de Werner Heisenberg, físico Alemán que formuló el principio de incertidumbrehttps://www.biografiasyvidas.com/biografia/h/heisenberg.htm "
12,"Por Werner Heisenberg,  Conversation: Science and religion https://www.edge.org/conversation/werner_heisenberg-science-and-religion "
13,"Biografía de Isaac Newton , fundador de la física clásica https://www.biografiasyvidas.com/biografia/n/newton.htm"
14,"¿ En realidad que es la gravedad ? https://spaceplace.nasa.gov/what-is-gravity/sp/"
15,"Segunda Ley de la Termodinámica y Entropía https://www.fisicalab.com/apartado/segundo-principio-termo"
16,"¿ Que es la energía oscura y la materia oscura ? https://spaceplace.nasa.gov/dark-matter/sp/"
17,"El mismo efecto del sonido que se percibe en una motocicleta cuando se acerca y se aleja de un observador, se refleja en los colores de las estrellas, de acuerdo a su velocidad y dirección de desplazamiento."
18,"¿Que es un agujero negro ? https://spaceplace.nasa.gov/black-hole-rescue/sp/"
19,"Recientes experimentos cuestionan la validez del modelo estándar, a través del cual se ha modelado con bastante perfección durante las últimas décadas las leyes de la física cuántica; eso podría implicar un desafío para la comunidad científica en un futuro inmediato, puede ser el descubrimiento de algo completamente desconocido en relación a las leyes que gobiernan el universo. https://www.europapress.es/ciencia/laboratorio/noticia-experimento-desafia-modelo-estándar-fisica-particulas-20210323112121.html"
20,"¿Que es el Big Bang? https://spaceplace.nasa.gov/big-bang/sp/"
21,"Alexander Friedman propuso tres modelos del universo entre 1922 y 1924; Lemaitre confirmó en 1927 el modelo de expansión del universo y Edwin Hubble en 1929 lo ratificó con sus observaciones. Biografía de Georges Lemaitre https://www.biografiasyvidas.com/biografia/l/lemaitre.htm"
22,"Desde el tiempo cero hasta el tiempo 10-43 segundos. https://es.wikipedia.org/wiki/%C3%89poca_de_Planck"
23,"Hipótesis milenarios, que implican la existencia de muchos universos, posiblemente en estados paralelos https://www.quimica.es/enciclopedia/Universos_paralelos.html  "
